ArtikelID;Text
230;blank, ultraschallgewaschen
231;blank
237;blank
243;elektropoliert
249;8+/-2my eloxiert farblos, verdichtet
251;blank
265;blank
271;passiviert nach EN2516 C2
281;blank
283;blank
285;blank
2419;blank
2438;blank
2439;blank - glasperlengestrahlt
2446;blank
2492;blank
2496;blank - gratfrei
2512;blank
2537;blank
2538;passiviert nach EN 2516 C2
2576;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2601;blank
2605;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2616;passiviert nach EN2516 C2
2622;chemisch schwarz Fe/Af nach DIN 50938
2623;anodisiert nach MIL-A-8625, Typ 1, Klasse1
2624;passiviert nach EN2516-C2
2632;blank
2634;blank
2638;diamantiert
2639;blank
2656;5-10µ Sn gl. über 2-3 µ duktilem Ni in whiskerarmen Bad
2661;blank
2672;passiviert nach EN2516-C2
2677;blank
2688;verzinkt, blau chromatiert
2691;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2693;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2719;passiviert nach EN2516-C2
2720;passiviert nach EN2516 C2
2730;blank
2734;verzinkt blau
2740;blank
2743;blank
2749;verzinkt nach ISO 4042:A2A-4-6µ Zn
2751;einsatzgehärtet und angelassen Eht 0,2+0,1 / 650 +/- 50 HV                               verzinkt 6-8my - Fe/Zn6/B  / EN12329
2759;blank
2760;passiviert nach EN2516 C2
2765;blank
2784;Stangenmaterial glühen,Drehteil 8µ +/- 2µ eloxiert farblos, verdichtet
2785;blank
2793;blank
2801;blank
2802;verzinkt, blau chromatiert
2804;blank
2805;blank
2807;blank - diamantiert
2809;verzinkt, blau chromatiert
2810;blank
2815;5µm vernickelt 50 % unterkupfert
2818;Zn 5 blau passiviert
2819;blank
2821;blank
2825;einsatzgehärtet und angelassen Eht 0,2 + 0,1 / 650 +/-50 HV, verzinkt 6-8µ - Fe/Zn6/B / EN12329
2826;blank
2829;blank, konserviert
2854;gal Ni4 gl. über Sperrschicht Flash-Cu
2858;blank
2859;blank
2875;blank
2878;blank
2879;verzinkt, gelb chromatiert
2882;blank / diamantiert
2887;elektropoliert
2888;blank
2891;3-5µ vernickelt -Trommelware-
2892;blank / trowalisiert
2893;blank / trowalisiert
2900;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2909;blank
2912;geglüht, 5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2913;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2915;vernickelt
2918;5-10µ Sn gl über 2-3my duktilem Ni in whiskerarmen Bad
2925;galv. Überzug ISO1456 - Cu/Ni10b
2927;passiviert nach EN2516 C2
2931;blank
2932;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2935;passiviert
2936;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2937;blank
2938;blank
2939;blank
2941;blank
2944;galv. Cu 1-2µ / Sn 3-5µ
2945;passiviert nach EN 2516-C2
2947;blank
2951;passiviert
2956;blank
2968;gas-nitrocarbuniert und nachoxidiert VS: 10 - 20µ
2969;passiviert nach EN 2516-C2
2970;galv. Überzug ISO1456 - Cu/Ni10b
2973;blank
2975;blank
2977;5-10µ Sn über 2µ duktilem Ni glanz
2985;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
3008;blank
3009;blank
3021;blank
3031;galv. Überzug ISO 1456 - Cu/Ni10b
3053;blank
3055;passiviert nach EN 2516 C2
3057;kadmiert/AMS-QQ-P-416 Typ II, Klasse 2
3065;blank
3082;blank, konserviert
3102;blank
3111;blank
