ArtikelID;Text
230;blank, ultraschallgewaschen
231;blank
249;8+/-2my eloxiert farblos, verdichtet
251;blank
260;blank
265;blank
266;blank
271;passiviert nach EN2516 C2
281;blank
285;blank
2406;blank, ungeglüht
2419;blank
2439;blank - glasperlengestrahlt
2447;blank
2492;blank
2496;blank - gratfrei
2512;blank
2514;blank
2537;blank
2538;passiviert nach EN 2516 C2
2561;blank
2562;blank
2576;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2601;blank
2616;passiviert nach EN2516 C2
2619;1-2µm Ni gl
2622;chemisch schwarz Fe/Af nach DIN 50938
2623;anodisiert nach MIL-A-8625, Typ 1, Klasse1
2624;passiviert nach EN2516-C2
2634;blank
2637;blank
2638;diamantiert
2639;blank
2656;5-10µ Sn gl. über 2-3 µ duktilem Ni in whiskerarmen Bad
2661;blank
2677;blank
2688;verzinkt, blau chromatiert
2691;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2693;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2720;passiviert nach EN2516 C2
2725;blank
2734;verzinkt blau
2737;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2740;blank
2743;blank
2749;verzinkt nach ISO 4042:A2A-4-6µ Zn
2751;einsatzgehärtet und angelassen Eht 0,2+0,1 / 650 +/- 50 HV +verzinkt 6-8my - Fe/Zn6/B  / EN12329
2755;geglüht HV 90, 5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2759;blank
2760;passiviert nach EN2516 C2
2765;blank
2767;blank
2783;blank
2793;blank
2799;blank
2801;blank
2802;verzinkt, blau chromatiert
2804;blank
2805;blank
2807;blank - diamantiert
2809;verzinkt, blau chromatiert
2810;blank
2815;5µm vernickelt 50 % unterkupfert
2818;Zn 5 blau passiviert
2819;blank
2821;blank
2825;einsatzgehärtet und angelassen Eht 0,2 + 0,1 / 650 +/-50 HV, verzinkt 6-8µ - Fe/Zn6/B / EN12329
2826;blank
2828;blank
2829;blank, konserviert
2854;gal Ni4 gl. über Sperrschicht Flash-Cu
2855;blank
2858;blank
2859;blank
2862;blank, konserviert
2875;blank
2876;blank, konserviert
2878;blank
2879;verzinkt, gelb chromatiert
2881;vergütet 500° C  /  Rm 900-1000N/mm2, vernickelt Fe/Ni12 nach ISO 4527
2882;blank / diamantiert
2887;elektropoliert
2888;blank
2891;3-5µ vernickelt -Trommelware-
2892;blank / trowalisiert
2893;blank / trowalisiert
2900;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2907;1-2µ Ni, gl
2909;blank
2912;geglüht, 5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2913;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2915;vernickelt
2918;5-10µ Sn gl über 2-3my duktilem Ni in whiskerarmen Bad
2919;3-5µ Sn matt über mind. 1,2µ duktilem Ni
2925;galv. Überzug ISO1456 - Cu/Ni10b
2927;passiviert nach EN2516 C2
2931;blank
2932;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2934;1-2µ Ni gl
2936;5-10µ Sn gl über 2-3µ duktilem Ni in whiskerarmen Bad
2937;blank
2938;blank
2939;blank
2941;blank
2945;passiviert nach EN 2516-C2
2947;blank
2956;blank
2968;gas-nitrocarbuniert und nachoxidiert VS: 10 - 20µ
2970;galv. Überzug ISO1456 - Cu/Ni10b
2975;blank
2978;trowalpoliert und konserviert                                                                                trowalpoliert mit 7381015
2980;trowalpoliert und konserviert                                                                                trowalpoliert mit 7381017
2981;galv. Cu 1-2 µm / Sn 3-5 µm
